Historical Mutual Fund NAV of KOTAK GOLD ETF,
scheme:- KOTAK GOLD ETF,
Start Date:- 27-07-2007,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
21-03-2012,269.4656
20-03-2012,266.5252
19-03-2012,266.7564
16-03-2012,261.6972
15-03-2012,260.8867
14-03-2012,261.6681
13-03-2012,266.5275
12-03-2012,268.7124
09-03-2012,268.1977
07-03-2012,268.4367
06-03-2012,266.0715
05-03-2012,266.8395
02-03-2012,267.1019
01-03-2012,267.067
29-02-2012,276.3768
28-02-2012,275.4481
27-02-2012,273.4212
24-02-2012,275.6307
23-02-2012,276.318
22-02-2012,272.9468
21-02-2012,269.3253
17-02-2012,269.2729
15-02-2012,268.4871
14-02-2012,268.2187
13-02-2012,269.0897
10-02-2012,269.0558
09-02-2012,269.9021
08-02-2012,270.2726
07-02-2012,265.8985
06-02-2012,264.1874
03-02-2012,272.3014
02-02-2012,271.3441
01-02-2012,272.9886
31-01-2012,273.2059
30-01-2012,269.5071
27-01-2012,270.5374
25-01-2012,262.5302
24-01-2012,263.8046
23-01-2012,266.1718
20-01-2012,262.121
19-01-2012,264.7255
18-01-2012,265.5755
17-01-2012,268.2023
16-01-2012,265.8606
13-01-2012,264.5057
12-01-2012,268.2216
11-01-2012,265.9803
10-01-2012,266.1448
09-01-2012,267.2388
06-01-2012,268.008
05-01-2012,266.941
04-01-2012,266.8527
03-01-2012,265.1589
02-01-2012,262.9472
30-12-2011,262.8151
29-12-2011,257.1595
28-12-2011,264.1424
27-12-2011,266.4273
26-12-2011,266.0658
23-12-2011,265.5969
22-12-2011,266.1508
21-12-2011,270.27
20-12-2011,266.7283
19-12-2011,264.4219
16-12-2011,263.162
15-12-2011,270.2594
14-12-2011,274.4879
13-12-2011,278.5779
12-12-2011,275.9646
09-12-2011,280.1491
08-12-2011,282.0964
07-12-2011,279.0544
05-12-2011,280.8378
02-12-2011,281.7574
01-12-2011,283.2325
30-11-2011,278.5917
29-11-2011,279.453
28-11-2011,279.2555
25-11-2011,274.1135
24-11-2011,278.2771
23-11-2011,275.3992
22-11-2011,280.4259
21-11-2011,276.2902
18-11-2011,278.5283
17-11-2011,279.2353
16-11-2011,282.8967
15-11-2011,279.8032
14-11-2011,279.5888
11-11-2011,278.1189
09-11-2011,277.8747
08-11-2011,277.8109
04-11-2011,270.4133
03-11-2011,268.4086
02-11-2011,267.5204
01-11-2011,262.185
31-10-2011,263.5367
